Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,72.0852,-75.8941,90.0,top
C2,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,61.6204,-73.8632,180.0,top
C3,10uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,74.5744,-77.2668,90.0,top
C4,0.47uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,61.6204,-75.3872,180.0,top
C5,10uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,76.9584,-77.2652,-90.0,top
C6,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,65.4558,-77.0382,180.0,top
C7,2.2uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,68.7578,-77.7494,-90.0,top
C8,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,70.3072,-77.7483,-90.0,top
C9,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,91.0375,-82.4738,180.0,top
C10,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,76.23337,-85.03033,90.0,top
C11,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,74.68337,-85.01783,90.0,top
C12,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,91.0601,-80.9001,0.0,top
C13,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,73.05757,-85.03093,-90.0,top
C14,30pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,87.2998,-84.3026,0.0,top
C15,30pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,79.375,-85.3186,-90.0,top
C16,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,71.50817,-85.03093,-90.0,top
C17,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,69.93337,-85.03093,-90.0,top
J1,USB_B_Micro,10118194-0001LF,97.056199,-77.6686,90.0,top
R1,2.2k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,68.35857,-85.05633,-90.0,top
R4,22,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,91.0582,-74.1299,0.0,top
R5,22,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,91.0582,-75.6539,0.0,top
R6,2.2,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,91.0844,-77.6478,0.0,top
R7,100k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,61.63,-78.6594,0.0,top
R8,150k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,61.63,-77.11,0.0,top
R9,1.5k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,91.0571,-79.3253,0.0,top
R10,1M,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,87.2998,-85.6742,0.0,top
Y1,12MHz,Crystal_SMD_5032-4Pin_5.0x3.2mm,82.9818,-85.0138,180.0,top
